"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"					
П000101240405			Е		3					
П000101240406			Е		3					
П000101240504			Е		3					
П000101240505			Е		3					
П000101240506			Е		3					
П000101240604			Е		3					
П000101240605			Е		3					
П000101240606			Е		3					
П000101240704			Е		3					
П000101240705			Е		3					
П000101240706			Е		3					
П000101249902		/	С	1	0					
П000101249903		/	С	1	0					
П000101249904		/	Е	1	0					
П000101249905		/	Е	1	0					
П000101249906		/	Е	1	0					
										
П000100125004			Е		3					
П000100125005			Е		3					
П000100125006			Е		3					
П000101250104			Е		3					
П000101250105			Е		3					
П000101250106			Е		3					
П000101250204			Е		3					
П000101250205			Е		3					
П000101250206			Е		3					
П000101250304			Е		3					
П000101250305			Е		3					
П000101250306			Е		3					
П000101250404			Е		3					
П000101250405			Е		3					
П000101250406			Е		3					
П000101250504			Е		3					
П000101250505			Е		3					
П000101250506			Е		3					
П000101250604			Е		3					
П000101250605			Е		3					
П000101250606			Е		3					
П000101250704			Е		3					
П000101250705			Е		3					
П000101250706			Е		3					
П000101250804			Е		3					
П000101250805			Е		3					
П000101250806			Е		3					
П000101250904			Е		3					
П000101250905			Е		3					
П000101250906			Е		3					
П000101251004			Е		3					
П000101251005			Е		3					
П000101251006			Е		3					
П000101251104			Е		3					
П000101251105			Е		3					
П000101251106			Е		3					
П000101259902		/	С	1	0					
П000101259903		/	С	1	0					
П000101259904		/	Е	1	0					
П000101259905		/	Е	1	0					
П000101259906		/	Е	1	0					
										
П000100126004			Е		3					
П000100126005			Е		3					
П000100126006			Е		3					
П000101260104			Е		3					
П000101260105			Е		3					
П000101260106			Е		3					
П000101260204			Е		3					
П000101260205			Е		3					
П000101260206			Е		3					
П000101260304			Е		3					
П000101260305			Е		3					
П000101260306			Е		3					
П000101260404			Е		3					
П000101260405			Е		3					
П000101260406			Е		3					
П000101260504			Е		3					
П000101260505			Е		3					
П000101260506			Е		3					
П000101260604			Е		3					
П000101260605			Е		3					
П000101260606			Е		3					
П000101260704			Е		3					
П000101260705			Е		3					
П000101260706			Е		3					
П000101260804			Е		3					
П000101260805			Е		3					
П000101260806			Е		3					
П000101260904			Е		3					
П000101260905			Е		3					
П000101260906			Е		3					
П000101261004			Е		3					
П000101261005			Е		3					
П000101261006			Е		3					
П000101269902		/	С	1	0					
П000101269903		/	С	1	0					
П000101269904		/	Е	1	0					
П000101269905		/	Е	1	0					
П000101269906		/	Е	1	0					
										
П000100130004			Е		4					
П000100130005			Е		4					
П000100130006			Е		4					
П000100131004			Е		3					
П000100131005			Е		3					
П000100131006			Е		3					
П000101319902		/	С	1	0					
П000101319903		/	С	1	0					
П000101319904		/	Е	1	0					
П000101319905		/	Е	1	0					
П000101319906		/	Е	1	0					
										
П000100132004			Е		3					
П000100132005			Е		3					
П000100132006			Е		3					
П000101329902		/	С	1	0					
П000101329903		/	С	1	0					
П000101329904		/	Е	1	0					
П000101329905		/	Е	1	0					
П000101329906		/	Е	1	0					
										
П000100134004			Е		3					
П000100134005			Е		3					
П000100134006			Е		3					
П000101340104			Е		3					
П000101340105			Е		3					
П000101340106			Е		3					
П000101340204			Е		3					
П000101340205			Е		3					
П000101340206			Е		3					
П000101340304			Е		3					
П000101340305			Е		3					
П000101340306			Е		3					
П000101349902		/	С	1	0					
П000101349903		/	С	1	0					
П000101349904		/	Е	1	0					
П000101349905		/	Е	1	0					
П000101349906		/	Е	1	0					
										
П000100135004			Е		3					
П000100135005			Е		3					
П000100135006			Е		3					
П000101359902		/	С	1	0					
П000101359903		/	С	1	0					
П000101359904		/	Е	1	0					
П000101359905		/	Е	1	0					
П000101359906		/	Е	1	0					
										
П000100136004			Е		3					
П000100136005			Е		3					
П000100136006			Е		3					
П000101360104			Е		3					
П000101360105			Е		3					
П000101360106			Е		3					
П000101360204			Е		3					
П000101360205			Е		3					
П000101360206			Е		3					
П000101369902		/	С	1	0					
П000101369903		/	С	1	0					
П000101369904		/	Е	1	0					
П000101369905		/	Е	1	0					
П000101369906		/	Е	1	0					
										
П000100137004			Е		3					
П000100137005			Е		3					
П000100137006			Е		3					
П000101379902		/	С	1	0					
П000101379903		/	С	1	0					
П000101379904		/	Е	1	0					
П000101379905		/	Е	1	0					
П000101379906		/	Е	1	0					
										
П000100140004			Е		4					
П000100140005			Е		4					
П000100140006			Е		4					
П000100141004			Е		3					
П000100141005			Е		3					
П000100141006			Е		3					
П000101410104			Е		3					
П000101410105			Е		3					
П000101410106			Е		3					
П000101410204			Е		3					
П000101410205			Е		3					
П000101410206			Е		3					
П000101410304			Е		3					
П000101410305			Е		3					
П000101410306			Е		3					
П000101410404			Е		3					
П000101410405			Е		3					
П000101410406			Е		3					
П000101419902		/	С	1	0					
П000101419903		/	С	1	0					
П000101419904		/	Е	1	0					
П000101419905		/	Е	1	0					
П000101419906		/	Е	1	0					
										
П000100142004			Е		3					
П000100142005			Е		3					
П000100142006			Е		3					
П000101429902		/	С	1	0					
П000101429903		/	С	1	0					
П000101429904		/	Е	1	0					
П000101429905		/	Е	1	0					
П000101429906		/	Е	1	0					
										
П000100143004			Е		0					
П000100143005			Е		0					
П000100143006			Е		0					
										
П000100145004			Е		0					
П000100145005			Е		0					
П000100145006			Е		0					
П000101459902		/	С	1	0					
П000101459903		/	С	1	0					
П000101459904		/	Е	1	0					
П000101459905		/	Е	1	0					
П000101459906		/	Е	1	0					
										
П000100150004			Е		4					
П000100150005			Е		4					
П000100150006			Е		4					
П000100151004			Е		3					
П000100151005			Е		3					
П000100151006			Е		3					
П000101510104			Е		3					
П000101510105			Е		3					
П000101510106			Е		3					
П000101510204			Е		3					
П000101510205			Е		3					
П000101510206			Е		3					
П000101510304			Е		3					
П000101510305			Е		3					
П000101510306			Е		3					
П000101510404			Е		3					
П000101510405			Е		3					
П000101510406			Е		3					
П000101510504			Е		3					
П000101510505			Е		3					
П000101510506			Е		3					
П000101510604			Е		3					
П000101510605			Е		3					
П000101510606			Е		3					
П000101510704			Е		3					
П000101510705			Е		3					
П000101510706			Е		3					
П000101510804			Е		3					
П000101510805			Е		3					
П000101510806			Е		3					
П000101510904			Е		3					
П000101510905			Е		3					
П000101510906			Е		3					
П000101511004			Е		3					
П000101511005			Е		3					
П000101511006			Е		3					
П000101511104			Е		3					
П000101511105			Е		3					
П000101511106			Е		3					
П000101511204			Е		3					
П000101511205			Е		3					
П000101511206			Е		3					
П000101519902		/	С	1	0					
П000101519903		/	С	1	0					
П000101519904		/	Е	1	0					
П000101519905		/	Е	1	0					
П000101519906		/	Е	1	0					
										
П000100152004			Е		3					
П000100152005			Е		3					
П000100152006			Е		3					
П000101520104			Е		3					
П000101520105			Е		3					
П000101520106			Е		3					
П000101520204			Е		3					
П000101520205			Е		3					
П000101520206			Е		3					
П000101520304			Е		3					
П000101520305			Е		3					
П000101520306			Е		3					
П000101520404			Е		3					
П000101520405			Е		3					
П000101520406			Е		3					
П000101520504			Е		3					
П000101520505			Е		3					
П000101520506			Е		3					
П000101520604			Е		3					
П000101520605			Е		3					
П000101520606			Е		3					
П000101520704			Е		3					
П000101520705			Е		3					
П000101520706			Е		3					
П000101520804			Е		3					
П000101520805			Е		3					
П000101520806			Е		3					
П000101529902		/	С	1	0					
П000101529903		/	С	1	0					
П000101529904		/	Е	1	0					
П000101529905		/	Е	1	0					
П000101529906		/	Е	1	0					
										
П000100153004			Е		3					
П000100153005			Е		3					
П000100153006			Е		3					
П000101530104			Е		3					
П000101530105			Е		3					
П000101530106			Е		3					
П000101530204			Е		3					
П000101530205			Е		3					
П000101530206			Е		3					
П000101530304			Е		3					
П000101530305			Е		3					
П000101530306			Е		3					
П000101530404			Е		3					
П000101530405			Е		3					
П000101530406			Е		3					
П000101530504			Е		3					
П000101530505			Е		3					
П000101530506			Е		3					
П000101539902		/	С	1	0					
П000101539903		/	С	1	0					
П000101539904		/	Е	1	0					
П000101539905		/	Е	1	0					
П000101539906		/	Е	1	0					
										
П000100154004			Е		3					
П000100154005			Е		3					
П000100154006			Е		3					
										
П000100155004			Е		3					
П000100155005			Е		3					
П000100155006			Е		3					
П000101559902		/	С	1	0					
П000101559903		/	С	1	0					
П000101559904		/	Е	1	0					
П000101559905		/	Е	1	0					
П000101559906		/	Е	1	0					
										
П000100160004			Е		4					
П000100160005			Е		4					
П000100160006			Е		4					
П000100170004			Е		4					
П000100170005			Е		4					
П000100170006			Е		4					
П000100210004			Е		4					
П000100210005			Е		4					
П000102100104			Е		4					
П000102100105			Е		4					
П000102100204			Е		4					
П000102100205			Е		4					
										
П000100211004			Е		3					
П000100211005			Е		3					
П000102110104			Е		3					
П000102110105			Е		3					
П000102110204			Е		3					
П000102110205			Е		3					
										
П000100212004			Е		3					
П000100212005			Е		3					
П000102120104			Е		3					
П000102120105			Е		3					
П000102120204			Е		3					
П000102120205			Е		3					
										
П000100220004			Е		4					
П000100220005			Е		4					
П000102200104			Е		4					
П000102200105			Е		4					
П000102200204			Е		4					
П000102200205			Е		4					
										
П000100221004			Е		3					
П000100221005			Е		3					
П000102210104			Е		3					
П000102210105			Е		3					
П000102210204			Е		3					
П000102210205			Е		3					
										
П000100222004			Е		3					
П000100222005			Е		3					
П000102220104			Е		3					
П000102220105			Е		3					
П000102220204			Е		3					
П000102220205			Е		3					
										
П000100230004			Е		4					
П000100230005			Е		4					
П000102300104			Е		4					
П000102300105			Е		4					
П000102300204			Е		4					
П000102300205			Е		4					
										
П000100231004			Е		3					
П000100231005			Е		3					
П000102310104			Е		3					
П000102310105			Е		3					
П000102310204			Е		3					
П000102310205			Е		3					
П000102310304			Е		3					
П000102310305			Е		3					
										
П000100232004			Е		3					
П000100232005			Е		3					
П000102320104			Е		3					
П000102320105			Е		3					
П000102320204			Е		3					
П000102320205			Е		3					
П000102320304			Е		3					
П000102320305			Е		3					
										
П000100233004			Е		3					
П000100233005			Е		3					
П000102330104			Е		3					
П000102330105			Е		3					
П000102330204			Е		3					
П000102330205			Е		3					
										
П000100234004			Е		3					
П000100234005			Е		3					
П000102340104			Е		3					
П000102340105			Е		3					
П000102340204			Е		3					
П000102340205			Е		3					
П000102340304			Е		3					
П000102340305			Е		3					
П000102340404			Е		3					
П000102340405			Е		3					
П000102340504			Е		3					
П000102340505			Е		3					
П000102340604			Е		3					
П000102340605			Е		3					
П000102340704			Е		3					
П000102340705			Е		3					
П000102340804			Е		3					
П000102340805			Е		3					
П000102340904			Е		3					
П000102340905			Е		3					
П000102341004			Е		3					
П000102341005			Е		3					
П000102341104			Е		3					
П000102341105			Е		3					
П000102341204			Е		3					
П000102341205			Е		3					
П000102341304			Е		3					
П000102341305			Е		3					
П000102341404			Е		3					
П000102341405			Е		3					
П000102341504			Е		3					
П000102341505			Е		3					
П000102341604			Е		3					
П000102341605			Е		3					
П000102341704			Е		3					
П000102341705			Е		3					
П000102341804			Е		3					
П000102341805			Е		3					
П000102341904			Е		3					
П000102341905			Е		3					
П000102342004			Е		3					
П000102342005			Е		3					
П000102342104			Е		3					
П000102342105			Е		3					
П000102342204			Е		3					
П000102342205			Е		3					
П000102342304			Е		3					
П000102342305			Е		3					
П000102342404			Е		3					
П000102342405			Е		3					
										
П000100235004			Е		3					
П000100235005			Е		3					
П000102350104			Е		3					
П000102350105			Е		3					
П000102350204			Е		3					
П000102350205			Е		3					
П000102350304			Е		3					
П000102350305			Е		3					
П000102350404			Е		3					
П000102350405			Е		3					
П000102350504			Е		3					
П000102350505			Е		3					
П000102350604			Е		3					
П000102350605			Е		3					
П000102350704			Е		3					
П000102350705			Е		3					
П000102350804			Е		3					
П000102350805			Е		3					
П000102350904			Е		3					
П000102350905			Е		3					
П000102351004			Е		3					
П000102351005			Е		3					
П000102351104			Е		3					
П000102351105			Е		3					
П000102351204			Е		3					
П000102351205			Е		3					
П000102351304			Е		3					
П000102351305			Е		3					
П000102351404			Е		3					
П000102351405			Е		3					
П000102351504			Е		3					
П000102351505			Е		3					
П000102351604			Е		3					
П000102351605			Е		3					
П000102351704			Е		3					
П000102351705			Е		3					
П000102351804			Е		3					
П000102351805			Е		3					
П000102351904			Е		3					
