"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"
П000100514007			Е		3
П000100514008			Е		3
П000100514009			Е		3
П000100514010			Е		3
П000100514011			Е		3
П000100515004			Е		3
П000100515005			Е		3
П000100515006			Е		3
П000100515007			Е		3
П000100515008			Е		3
П000100515009			Е		3
П000100515010			Е		3
П000100515011			Е		3
					
П100100514004		/	Е	1	0
П100100514005		/	Е	1	0
П100100514006		/	Е	1	0
П100100514007		/	Е	1	0
П100100514008		/	Е	1	0
П100100514009		/	Е	1	0
П100100514010		/	Е	1	0
П100100514011		/	Е	1	0
П100100515004		/	Е	1	0
П100100515005		/	Е	1	0
П100100515006		/	Е	1	0
П100100515007		/	Е	1	0
П100100515008		/	Е	1	0
П100100515009		/	Е	1	0
П100100515010		/	Е	1	0
П100100515011		/	Е	1	0
					
П000100516004			Е		3
П000100516005			Е		3
П000100516006			Е		3
П000100516007			Е		3
П000100516008			Е		3
П000100517004			Е		3
П000100517005			Е		3
П000100517006			Е		3
П000100517007			Е		3
П000100517008			Е		3
П000100518004			Е		3
П000100518005			Е		3
П000100518006			Е		3
П000100518007			Е		3
П000100518008			Е		3
П000100519004			Е		3
П000100519005			Е		3
П000100519006			Е		3
П000100519007			Е		3
П000100519008			Е		3
					
П100100516004		/	Е	1	0
П100100516005		/	Е	1	0
П100100516006		/	Е	1	0
П100100516007		/	Е	1	0
П100100516008		/	Е	1	0
П100100517004		/	Е	1	0
П100100517005		/	Е	1	0
П100100517006		/	Е	1	0
П100100517007		/	Е	1	0
П100100517008		/	Е	1	0
П100100518004		/	Е	1	0
П100100518005		/	Е	1	0
П100100518006		/	Е	1	0
П100100518007		/	Е	1	0
П100100518008		/	Е	1	0
П100100519004		/	Е	1	0
П100100519005		/	Е	1	0
П100100519006		/	Е	1	0
П100100519007		/	Е	1	0
П100100519008		/	Е	1	0
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 2					
П000100520004			Е		3
П000100520005			Е		3
П000100520006			Е		3
П000100520007			Е		3
П000100520008			Е		3
П000100520009			Е		3
П000100520010			Е		3
П000100520011			Е		3
П000100520012			Е		3
П000100520013			Е		3
П000100521004			Е		3
П000100521005			Е		3
П000100521006			Е		3
П000100521007			Е		3
П000100521008			Е		3
П000100521009			Е		3
П000100521010			Е		3
П000100521011			Е		3
П000100521012			Е		3
П000100521013			Е		3
П000100522004			Е		3
П000100522005			Е		3
П000100522006			Е		3
П000100522007			Е		3
П000100522008			Е		3
П000100522009			Е		3
П000100522010			Е		3
П000100522011			Е		3
П000100522012			Е		3
П000100522013			Е		3
П000100523004			Е		3
П000100523005			Е		3
П000100523006			Е		3
П000100523007			Е		3
П000100523008			Е		3
П000100523009			Е		3
П000100523010			Е		3
П000100523011			Е		3
П000100523012			Е		3
П000100523013			Е		3
П000100524004			Е		3
П000100524005			Е		3
П000100524006			Е		3
П000100524007			Е		3
П000100524008			Е		3
П000100525004			Е		3
П000100525005			Е		3
П000100525006			Е		3
П000100525007			Е		3
П000100525008			Е		3
					
П000100526003			Е		3
П000100526004			Е		3
П000100527003			Е		0
П000100527004			Е		0
					
П000100528003			Е		0
П000100528004			Е		0
П000100528005			Е		0
П000100528103			Е		3
П000100528104			Е		3
П000100528105			Е		3
П000100528203			Е		0
П000100528204			Е		0
П000100528205			Е		0
П000100528303			Е		3
П000100528304			Е		3
П000100528305			Е		3
П000100528403			Е		3
П000100528404			Е		3
П000100528405			Е		3
П000100528503			Е		0
П000100528504			Е		0
П000100528505			Е		0
П000100528603			Е		0
П000100528604			Е		0
П000100528605			Е		0
					
П100100520001		/	С	1	0
П100100520002		/	С	1	0
П100100520004		/	Е	1	0
П100100520005		/	Е	1	0
П100100520006		/	Е	1	0
П100100520007		/	Е	1	0
П100100520008		/	Е	1	0
П100100520009		/	Е	1	0
П100100520010		/	Е	1	0
П100100520011		/	Е	1	0
П100100520012		/	Е	1	0
П100100520013		/	Е	1	0
П100100521002		/	С	1	0
П100100521004		/	Е	1	0
П100100521005		/	Е	1	0
П100100521006		/	Е	1	0
П100100521007		/	Е	1	0
П100100521008		/	Е	1	0
П100100521009		/	Е	1	0
П100100521010		/	Е	1	0
П100100521011		/	Е	1	0
П100100521012		/	Е	1	0
П100100521013		/	Е	1	0
					
П100100522001		/	С	1	0
П100100522002		/	С	1	0
П100100522004		/	Е	1	0
П100100522005		/	Е	1	0
П100100522006		/	Е	1	0
П100100522007		/	Е	1	0
П100100522008		/	Е	1	0
П100100522009		/	Е	1	0
П100100522010		/	Е	1	0
П100100522011		/	Е	1	0
П100100522012		/	Е	1	0
П100100522013		/	Е	1	0
П100100523002		/	С	1	0
П100100523004		/	Е	1	0
П100100523005		/	Е	1	0
П100100523006		/	Е	1	0
П100100523007		/	Е	1	0
П100100523008		/	Е	1	0
П100100523009		/	Е	1	0
П100100523010		/	Е	1	0
П100100523011		/	Е	1	0
П100100523012		/	Е	1	0
П100100523013		/	Е	1	0
					
П100100524001		/	С	1	0
П100100524002		/	С	1	0
П100100524004		/	Е	1	0
П100100524005		/	Е	1	0
П100100524006		/	Е	1	0
П100100524007		/	Е	1	0
П100100524008		/	Е	1	0
П100100525002		/	С	1	0
П100100525004		/	Е	1	0
П100100525005		/	Е	1	0
П100100525006		/	Е	1	0
П100100525007		/	Е	1	0
П100100525008		/	Е	1	0
					
П100100526001		/	С	1	0
П100100526002		/	С	1	0
П100100526003		/	Е	1	0
П100100526004		/	Е	1	0
					
П100100527001		/	С	1	0
П100100527002		/	С	1	0
П100100527003		/	Е	1	0
П100100527004		/	Е	1	0
					
П100100528701		/	С	1	0
П100100528702		/	С	1	0
П100100528703		/	Е	1	0
П100100528704		/	Е	1	0
П100100528705		/	Е	1	0
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 3					
П000100530004			Е		4
П000100530005			Е		4
П000100530006			Е		4
П000100530007			Е		4
П000100530008			Е		4
П000100530009			Е		4
П000100530010			Е		4
П000100530011			Е		4
П000100530012			Е		4
					
П000100530104			Е		0
П000100530105			Е		0
П000100530106			Е		0
П000100530107			Е		0
П000100530108			Е		0
П000100530109			Е		0
П000100530110			Е		0
П000100530111			Е		0
П000100530112			Е		0
					
П000100530504			Е		0
П000100530505			Е		0
П000100530506			Е		0
П000100530507			Е		0
П000100530508			Е		0
П000100530509			Е		0
П000100530510			Е		0
П000100530511			Е		0
П000100530512			Е		0
					
П000100531004			Е		4
П000100531005			Е		4
П000100531006			Е		4
П000100531007			Е		4
П000100531008			Е		4
П000100531009			Е		4
П000100531010			Е		4
П000100531011			Е		4
П000100531012			Е		4
					
П000100531104			Е		0
П000100531105			Е		0
П000100531106			Е		0
П000100531107			Е		0
П000100531108			Е		0
П000100531109			Е		0
П000100531110			Е		0
П000100531111			Е		0
П000100531112			Е		0
					
П000100531504			Е		0
П000100531505			Е		0
П000100531506			Е		0
П000100531507			Е		0
П000100531508			Е		0
П000100531509			Е		0
П000100531510			Е		0
П000100531511			Е		0
П000100531512			Е		0
					
П000100532003			Е		0
П000100532004			Е		0
П000100532005			Е		0
П000100532503			Е		0
П000100532504			Е		0
П000100532505			Е		0
П000100532903			Е		0
П000100532904			Е		0
П000100532905			Е		0
					
П100100530101		/	С	1	0
П100100530102		/	С	1	0
П100100530104		/	Е	1	0
П100100530105		/	Е	1	0
П100100530106		/	Е	1	0
П100100530107		/	Е	1	0
П100100530108		/	Е	1	0
П100100530109		/	Е	1	0
П100100530110		/	Е	1	0
П100100530111		/	Е	1	0
П100100530112		/	Е	1	0
П100100530501		/	С	1	0
П100100530502		/	С	1	0
П100100530504		/	Е	1	0
П100100530505		/	Е	1	0
П100100530506		/	Е	1	0
П100100530507		/	Е	1	0
П100100530508		/	Е	1	0
П100100530509		/	Е	1	0
П100100530510		/	Е	1	0
П100100530511		/	Е	1	0
П100100530512		/	Е	1	0
П100100531102		/	С	1	0
П100100531104		/	Е	1	0
П100100531105		/	Е	1	0
П100100531106		/	Е	1	0
П100100531107		/	Е	1	0
П100100531108		/	Е	1	0
П100100531109		/	Е	1	0
П100100531110		/	Е	1	0
П100100531111		/	Е	1	0
П100100531112		/	Е	1	0
П100100531502		/	С	1	0
П100100531504		/	Е	1	0
П100100531505		/	Е	1	0
П100100531506		/	Е	1	0
П100100531507		/	Е	1	0
П100100531508		/	Е	1	0
П100100531509		/	Е	1	0
П100100531510		/	Е	1	0
П100100531511		/	Е	1	0
П100100531512		/	Е	1	0
П100100532001		/	С	1	0
П100100532002		/	С	1	0
П100100532003		/	Е	1	0
П100100532004		/	Е	1	0
П100100532005		/	Е	1	0
П100100532501		/	С	1	0
П100100532502		/	С	1	0
П100100532503		/	Е	1	0
П100100532504		/	Е	1	0
П100100532505		/	Е	1	0
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 4					
П100100540001		/	С	1	0
П100100540002		/	С	1	0
П100100540004		/	Е	1	0
П100100540005		/	Е	1	0
П100100540006		/	Е	1	0
П100100540007		/	Е	1	0
П100100540008		/	Е	1	0
П100100540009		/	Е	1	0
П100100540010		/	Е	1	0
П100100540011		/	Е	1	0
П100100540012		/	Е	1	0
П100100542002		/	С	1	0
П100100542004		/	Е	1	0
П100100542005		/	Е	1	0
П100100542006		/	Е	1	0
П100100542007		/	Е	1	0
П100100542008		/	Е	1	0
П100100542009		/	Е	1	0
П100100542010		/	Е	1	0
П100100542011		/	Е	1	0
П100100542012		/	Е	1	0
П100100544001		/	С	1	0
П100100544002		/	С	1	0
П100100544003		/	Е	1	0
П100100544004		/	Е	1	0
П100100544005		/	Е	1	0
П100100544501		/	С	1	0
П100100544502		/	С	1	0
П100100544503		/	Е	1	0
П100100544504		/	Е	1	0
П100100544505		/	Е	1	0
					
П000100540004			Е		3
П000100540005			Е		3
П000100540006			Е		3
П000100540007			Е		3
П000100540008			Е		3
П000100540009			Е		3
П000100540011			Е		3
П000100540012			Е		3
					
П000100540104			Е		3
П000100540105			Е		3
П000100540106			Е		3
П000100540107			Е		3
П000100540108			Е		3
П000100540109			Е		3
П000100540110			Е		3
П000100540111			Е		3
П000100540112			Е		3
					
П000100540204			Е		3
П000100540205			Е		3
П000100540206			Е		3
П000100540207			Е		3
П000100540208			Е		3
П000100540209			Е		3
П000100540210			Е		3
П000100540211			Е		3
П000100540212			Е		3
					
П000100540304			Е		3
П000100540305			Е		3
П000100540306			Е		3
П000100540307			Е		3
П000100540308			Е		3
П000100540309			Е		3
П000100540310			Е		3
П000100540311			Е		3
П000100540312			Е		3
					
П000100540404			Е		3
П000100540405			Е		0
П000100540406			Е		3
П000100540407			Е		3
П000100540408			Е		0
П000100540409			Е		0
П000100540410			Е		0
П000100540411			Е		3
П000100540412			Е		0
					
П000100540504			Е		3
П000100540505			Е		3
П000100540506			Е		3
П000100540507			Е		3
П000100540508			Е		3
П000100540509			Е		3
П000100540510			Е		0
П000100540511			Е		3
П000100540512			Е		3
					
П000100540604			Е		3
П000100540605			Е		0
П000100540606			Е		3
П000100540607			Е		3
П000100540608			Е		0
П000100540609			Е		0
П000100540610			Е		0
П000100540611			Е		3
П000100540612			Е		0
					
П000100540704			Е		3
П000100540705			Е		0
П000100540706			Е		3
П000100540707			Е		3
П000100540708			Е		0
П000100540709			Е		0
П000100540710			Е		0
П000100540711			Е		3
П000100540712			Е		0
					
П000100542004			Е		3
П000100542005			Е		3
П000100542006			Е		3
П000100542007			Е		3
П000100542008			Е		3
П000100542009			Е		3
П000100542011			Е		3
П000100542012			Е		3
					
П000100542104			Е		3
П000100542105			Е		3
П000100542106			Е		3
П000100542107			Е		3
П000100542108			Е		3
П000100542109			Е		3
П000100542110			Е		3
П000100542111			Е		3
П000100542112			Е		3
					
П000100542204			Е		3
П000100542205			Е		3
П000100542206			Е		3
П000100542207			Е		3
П000100542208			Е		3
П000100542209			Е		3
П000100542210			Е		3
П000100542211			Е		3
П000100542212			Е		3
					
П000100542304			Е		3
П000100542305			Е		3
П000100542306			Е		3
П000100542307			Е		3
П000100542308			Е		3
П000100542309			Е		3
П000100542310			Е		3
П000100542311			Е		3
П000100542312			Е		3
					
П000100542404			Е		3
П000100542405			Е		0
П000100542406			Е		3
П000100542407			Е		3
П000100542408			Е		0
П000100542409			Е		0
П000100542410			Е		0
П000100542411			Е		3
П000100542412			Е		0
					
П000100542504			Е		3
П000100542505			Е		3
П000100542506			Е		3
П000100542507			Е		3
П000100542508			Е		3
П000100542509			Е		3
П000100542510			Е		0
П000100542511			Е		3
П000100542512			Е		3
					
П000100542604			Е		3
П000100542605			Е		0
П000100542606			Е		3
П000100542607			Е		3
П000100542608			Е		0
П000100542609			Е		0
П000100542610			Е		0
П000100542611			Е		3
П000100542612			Е		0
					
П000100542704			Е		3
П000100542705			Е		0
П000100542706			Е		3
П000100542707			Е		3
П000100542708			Е		0
П000100542709			Е		0
П000100542710			Е		0
П000100542711			Е		3
П000100542712			Е		0
					
П000100544003			Е		0
П000100544004			Е		0
П000100544005			Е		0
П000100544503			Е		0
П000100544504			Е		0
П000100544505			Е		0
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 5					
П000100550004			Е		4
П000100550005			Е		4
П000100550006			Е		4
П000100550007			Е		4
П000100550008			Е		4
П000100550009			Е		4
П000100550010			Е		4
П000100550012			Е		4
П000100550013			Е		4
					
П000100550104			Е		0
П000100550105			Е		0
П000100550106			Е		0
П000100550107			Е		0
П000100550108			Е		0
П000100550109			Е		0
П000100550110			Е		0
П000100550111			Е		0
П000100550112			Е		0
П000100550113			Е		0
П000100550121			Е		0
П000100550122			Е		0
					
П000100550204			Е		3
П000100550205			Е		3
П000100550206			Е		3
П000100550207			Е		0
П000100550208			Е		3
П000100550209			Е		3
П000100550210			Е		3
П000100550211			Е		0
П000100550212			Е		3
П000100550213			Е		3
П000100550221			Е		3
П000100550222			Е		3
					
П000100550304			Е		3
П000100550305			Е		3
П000100550306			Е		3
П000100550307			Е		0
П000100550308			Е		3
П000100550309			Е		3
П000100550310			Е		3
П000100550311			Е		0
П000100550312			Е		3
П000100550313			Е		3
П000100550321			Е		0
П000100550322			Е		0
					
П000100550404			Е		3
П000100550405			Е		3
П000100550406			Е		3
П000100550407			Е		0
П000100550408			Е		3
П000100550409			Е		3
П000100550410			Е		3
П000100550411			Е		0
П000100550412			Е		3
П000100550413			Е		3
П000100550421			Е		3
П000100550422			Е		3
					
П000100551104			Е		3
П000100551105			Е		3
П000100551106			Е		3
П000100551107			Е		3
П000100551108			Е		3
П000100551109			Е		3
П000100551110			Е		3
П000100551111			Е		0
П000100551112			Е		3
П000100551113			Е		3
П000100551121			Е		3
П000100551122			Е		3
					
П000100551204			Е		3
П000100551205			Е		3
П000100551206			Е		3
П000100551207			Е		3
П000100551208			Е		3
П000100551209			Е		3
П000100551210			Е		3
П000100551211			Е		0
П000100551212			Е		3
П000100551213			Е		3
П000100551221			Е		3
П000100551222			Е		3
					
П000100551304			Е		3
П000100551305			Е		3
П000100551306			Е		3
П000100551307			Е		3
П000100551308			Е		3
П000100551309			Е		3
П000100551310			Е		3
П000100551311			Е		0
П000100551312			Е		3
П000100551313			Е		3
П000100551321			Е		0
П000100551322			Е		0
					
П000100551404			Е		3
П000100551405			Е		3
П000100551406			Е		3
П000100551407			Е		3
П000100551408			Е		3
П000100551409			Е		3
П000100551410			Е		3
П000100551411			Е		0
П000100551412			Е		3
П000100551413			Е		3
П000100551421			Е		3
П000100551422			Е		3
					
П000100552004			Е		4
П000100552005			Е		4
П000100552006			Е		4
П000100552007			Е		4
П000100552008			Е		4
П000100552009			Е		4
П000100552010			Е		4
П000100552012			Е		4
П000100552013			Е		4
					
П000100552104			Е		0
П000100552105			Е		0
П000100552106			Е		0
П000100552107			Е		0
П000100552108			Е		0
П000100552109			Е		0
П000100552110			Е		0
П000100552111			Е		0
П000100552112			Е		0
П000100552113			Е		0
П000100552121			Е		0
П000100552122			Е		0
					
П000100552204			Е		3
П000100552205			Е		3
П000100552206			Е		3
П000100552207			Е		0
П000100552208			Е		3
П000100552209			Е		3
П000100552210			Е		3
П000100552211			Е		0
П000100552212			Е		3
П000100552213			Е		3
П000100552221			Е		3
П000100552222			Е		3
					
П000100552304			Е		3
П000100552305			Е		3
П000100552306			Е		3
П000100552307			Е		0
П000100552308			Е		3
П000100552309			Е		3
П000100552310			Е		3
П000100552311			Е		0
П000100552312			Е		3
П000100552313			Е		3
П000100552321			Е		0
П000100552322			Е		0
					
П000100552404			Е		3
П000100552405			Е		3
П000100552406			Е		3
П000100552407			Е		0
П000100552408			Е		3
П000100552409			Е		3
П000100552410			Е		3
П000100552411			Е		0
П000100552412			Е		3
П000100552413			Е		3
П000100552421			Е		3
П000100552422			Е		3
					
П000100553104			Е		3
П000100553105			Е		3
П000100553106			Е		3
П000100553107			Е		3
П000100553108			Е		3
П000100553109			Е		3
П000100553110			Е		3
П000100553111			Е		0
П000100553112			Е		3
П000100553113			Е		3
П000100553121			Е		3
П000100553122			Е		3
					
П000100553204			Е		3
П000100553205			Е		3
П000100553206			Е		3
П000100553207			Е		3
П000100553208			Е		3
П000100553209			Е		3
П000100553210			Е		3
П000100553211			Е		0
П000100553212			Е		3
П000100553213			Е		3
П000100553221			Е		3
П000100553222			Е		3
					
П000100553304			Е		3
П000100553305			Е		3
П000100553306			Е		3
П000100553307			Е		3
П000100553308			Е		3
П000100553309			Е		3
П000100553310			Е		3
П000100553311			Е		0
П000100553312			Е		3
П000100553313			Е		3
П000100553321			Е		0
П000100553322			Е		0
					
П000100553404			Е		3
П000100553405			Е		3
П000100553406			Е		3
П000100553407			Е		3
П000100553408			Е		3
П000100553409			Е		3
П000100553410			Е		3
П000100553411			Е		0
П000100553412			Е		3
П000100553413			Е		3
П000100553421			Е		3
П000100553422			Е		3
					
П000100554003			Е		0
П000100554004			Е		0
П000100554005			Е		0
П000100554006			Е		0
П000100554007			Е		0
П000100554008			Е		0
					
П000100554103			Е		0
П000100554104			Е		0
П000100554105			Е		0
П000100554106			Е		0
П000100554107			Е		0
П000100554108			Е		0
П000100554203			Е		0
П000100554204			Е		0
П000100554205			Е		0
П000100554206			Е		0
П000100554207			Е		0
П000100554208			Е		0
П000100554303			Е		0
П000100554304			Е		0
П000100554305			Е		0
П000100554306			Е		0
П000100554307			Е		0
П000100554308			Е		0
					
П000100555004			Е		4
П000100555005			Е		4
П000100555006			Е		4
П000100555007			Е		4
П000100555008			Е		4
П000100555010			Е		4
					
П000100555104			Е		0
П000100555105			Е		0
П000100555106			Е		0
П000100555107			Е		0
П000100555108			Е		0
П000100555109			Е		0
П000100555110			Е		0
П000100555121			Е		0
П000100555122			Е		0
					
П000100555204			Е		3
П000100555205			Е		3
П000100555206			Е		0
П000100555207			Е		3
П000100555208			Е		3
П000100555209			Е		0
П000100555210			Е		3
П000100555221			Е		0
П000100555222			Е		0
					
П000100555304			Е		3
П000100555305			Е		3
П000100555306			Е		0
П000100555307			Е		3
П000100555308			Е		3
П000100555309			Е		0
П000100555310			Е		3
П000100555321			Е		0
П000100555322			Е		0
					
П000100555404			Е		3
П000100555405			Е		3
П000100555406			Е		0
П000100555407			Е		3
П000100555408			Е		3
П000100555409			Е		0
П000100555410			Е		3
П000100555421			Е		3
П000100555422			Е		3
					
П000100556004			Е		3
П000100556005			Е		3
П000100556006			Е		3
П000100556007			Е		3
П000100556008			Е		3
П000100556009			Е		0
П000100556010			Е		3
П000100556021			Е		0
П000100556022			Е		0
					
П000100556104			Е		3
П000100556105			Е		3
П000100556106			Е		3
П000100556107			Е		3
П000100556108			Е		3
П000100556109			Е		0
П000100556110			Е		3
П000100556121			Е		0
П000100556122			Е		0
					
П000100556204			Е		3
П000100556205			Е		3
П000100556206			Е		3
П000100556207			Е		3
П000100556208			Е		3
П000100556209			Е		0
П000100556210			Е		3
П000100556221			Е		0
П000100556222			Е		0
					
П000100556304			Е		3
П000100556305			Е		3
П000100556306			Е		3
П000100556307			Е		3
П000100556308			Е		3
П000100556309			Е		0
П000100556310			Е		3
П000100556321			Е		0
П000100556322			Е		0
					
П000100556404			Е		3
П000100556405			Е		3
П000100556406			Е		3
П000100556407			Е		3
П000100556408			Е		3
П000100556409			Е		0
П000100556410			Е		3
П000100556421			Е		0
П000100556422			Е		0
					
П000100556504			Е		3
П000100556505			Е		3
П000100556506			Е		3
П000100556507			Е		3
П000100556508			Е		3
П000100556509			Е		0
П000100556510			Е		3
П000100556521			Е		0
П000100556522			Е		0
					
П000100556604			Е		3
П000100556605			Е		3
П000100556606			Е		3
П000100556607			Е		3
П000100556608			Е		3
П000100556609			Е		0
П000100556610			Е		3
П000100556621			Е		0
П000100556622			Е		0
					
П000100557004			Е		4
П000100557005			Е		4
П000100557006			Е		4
П000100557007			Е		4
П000100557008			Е		4
П000100557010			Е		4
					
П000100557104			Е		0
П000100557105			Е		0
П000100557106			Е		0
П000100557107			Е		0
П000100557108			Е		0
П000100557109			Е		0
П000100557110			Е		0
П000100557121			Е		0
П000100557122			Е		0
					
П000100557204			Е		3
П000100557205			Е		3
П000100557206			Е		0
П000100557207			Е		3
П000100557208			Е		3
П000100557209			Е		0
П000100557210			Е		3
П000100557221			Е		0
П000100557222			Е		0
					
П000100557304			Е		3
П000100557305			Е		3
П000100557306			Е		0
П000100557307			Е		3
П000100557308			Е		3
П000100557309			Е		0
П000100557310			Е		3
П000100557321			Е		0
П000100557322			Е		0
					
П000100557404			Е		3
П000100557405			Е		3
П000100557406			Е		0
П000100557407			Е		3
П000100557408			Е		3
П000100557409			Е		0
П000100557410			Е		3
П000100557421			Е		0
П000100557422			Е		0
					
П000100558004			Е		3
П000100558005			Е		3
П000100558006			Е		3
П000100558007			Е		3
П000100558008			Е		3
П000100558009			Е		0
П000100558010			Е		3
П000100558021			Е		0
П000100558022			Е		0
					
П000100558104			Е		3
П000100558105			Е		3
П000100558106			Е		3
П000100558107			Е		3
П000100558108			Е		3
П000100558109			Е		0
П000100558110			Е		3
П000100558121			Е		0
П000100558122			Е		0
					
П000100558204			Е		3
П000100558205			Е		3
П000100558206			Е		3
П000100558207			Е		3
П000100558208			Е		3
П000100558209			Е		0
П000100558210			Е		3
П000100558221			Е		0
П000100558222			Е		0
					
П000100558304			Е		3
П000100558305			Е		3
П000100558306			Е		3
П000100558307			Е		3
П000100558308			Е		3
П000100558309			Е		0
П000100558310			Е		3
П000100558321			Е		0
П000100558322			Е		0
					
П000100558404			Е		3
П000100558405			Е		3
П000100558406			Е		3
П000100558407			Е		3
П000100558408			Е		3
П000100558409			Е		0
П000100558410			Е		3
П000100558421			Е		0
П000100558422			Е		0
					
П000100558504			Е		3
П000100558505			Е		3
П000100558506			Е		3
П000100558507			Е		3
П000100558508			Е		3
П000100558509			Е		0
П000100558510			Е		3
П000100558521			Е		0
П000100558522			Е		0
					
П000100558604			Е		3
П000100558605			Е		3
П000100558606			Е		3
П000100558607			Е		3
П000100558608			Е		3
П000100558609			Е		0
П000100558610			Е		3
П000100558621			Е		0
П000100558622			Е		0
					
П000100559003			Е		0
П000100559004			Е		0
П000100559005			Е		0
					
П000100559103			Е		0
П000100559104			Е		0
П000100559105			Е		0
					
П000100559203			Е		0
П000100559204			Е		0
П000100559205			Е		0
					
П000100559303			Е		0
П000100559304			Е		0
П000100559305			Е		0
					
П100100550101		/	С	1	0
П100100550102		/	С	1	0
П100100550104		/	Е	1	0
П100100550105		/	Е	1	0
П100100550106		/	Е	1	0
П100100550107		/	Е	1	0
П100100550108		/	Е	1	0
П100100550109		/	Е	1	0
П100100550110		/	Е	1	0
П100100550111		/	Е	1	0
П100100550112		/	Е	1	0
П100100550113		/	Е	1	0
П100100551101		/	С	1	0
П100100551102		/	С	1	0
П100100551104		/	Е	1	0
П100100551105		/	Е	1	0
П100100551106		/	Е	1	0
П100100551107		/	Е	1	0
П100100551108		/	Е	1	0
П100100551109		/	Е	1	0
П100100551110		/	Е	1	0
П100100551111		/	Е	1	0
П100100551112		/	Е	1	0
П100100551113		/	Е	1	0
П100100552102		/	С	1	0
П100100552104		/	Е	1	0
П100100552105		/	Е	1	0
П100100552106		/	Е	1	0
П100100552107		/	Е	1	0
П100100552108		/	Е	1	0
П100100552109		/	Е	1	0
П100100552110		/	Е	1	0
П100100552111		/	Е	1	0
П100100552112		/	Е	1	0
П100100552113		/	Е	1	0
П100100553102		/	С	1	0
П100100553104		/	Е	1	0
П100100553105		/	Е	1	0
П100100553106		/	Е	1	0
П100100553107		/	Е	1	0
П100100553108		/	Е	1	0
П100100553109		/	Е	1	0
П100100553110		/	Е	1	0
П100100553111		/	Е	1	0
П100100553112		/	Е	1	0
П100100553113		/	Е	1	0
П100100554001		/	С	1	0
П100100554002		/	С	1	0
П100100554003		/	Е	1	0
П100100554004		/	Е	1	0
П100100554005		/	Е	1	0
П100100554006		/	Е	1	0
П100100554007		/	Е	1	0
П100100554008		/	Е	1	0
П100100555101		/	С	1	0
П100100555102		/	С	1	0
П100100555104		/	Е	1	0
П100100555105		/	Е	1	0
П100100555106		/	Е	1	0
П100100555107		/	Е	1	0
П100100555108		/	Е	1	0
П100100555109		/	Е	1	0
П100100555110		/	Е	1	0
П100100556001		/	С	1	0
П100100556002		/	С	1	0
П100100556004		/	Е	1	0
П100100556005		/	Е	1	0
П100100556006		/	Е	1	0
П100100556007		/	Е	1	0
П100100556008		/	Е	1	0
П100100556009		/	Е	1	0
П100100556010		/	Е	1	0
П100100557102		/	С	1	0
П100100557104		/	Е	1	0
П100100557105		/	Е	1	0
П100100557106		/	Е	1	0
П100100557107		/	Е	1	0
П100100557108		/	Е	1	0
П100100557109		/	Е	1	0
П100100557110		/	Е	1	0
П100100558002		/	С	1	0
П100100558004		/	Е	1	0
П100100558005		/	Е	1	0
П100100558006		/	Е	1	0
П100100558007		/	Е	1	0
П100100558008		/	Е	1	0
П100100558009		/	Е	1	0
П100100558010		/	Е	1	0
П100100559001		/	С	1	0
П100100559002		/	С	1	0
П100100559003		/	Е	1	0
П100100559004		/	Е	1	0
П100100559005		/	Е	1	0
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 6					
П000100560003			Е		4
П000100560004			Е		4
П000100561003			Е		3
П000100561004			Е		3
П000100562003			Е		3
П000100562004			Е		3
П000100563003			Е		3
П000100563004			Е		3
П000100564003			Е		3
П000100564004			Е		3
П000100565003			Е		3
П000100565004			Е		3
П000100566003			Е		4
П000100566004			Е		4
					
П000100566503			Е		3
П000100566504			Е		3
					
П000100567003			Е		3
П000100567004			Е		3
П000100568003			Е		3
П000100568004			Е		3
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 7					
П000100570003			Е		3
П000100570004			Е		3
П000100570005			Е		3
П000100570006			Е		3
П000100570007			Е		3
П100100570001		/	С	1	0
П100100570002		/	С	1	0
П100100570003		/	Е	1	0
П100100570004		/	Е	1	0
П100100570005		/	Е	1	0
П100100570006		/	Е	1	0
П100100570007		/	Е	1	4
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 8					
П000100580003			Е		3
П000100580004			Е		3
П000100580005			Е		3
П000100581003			Е		3
П000100581004			Е		3
П000100581005			Е		3
П100100580001		/	С	1	0
П100100580002		/	С	1	0
П100100580003		/	Е	1	0
П100100580004		/	Е	1	0
П100100580005		/	Е	1	0
П100100581001		/	С	1	0
П100100581002		/	С	1	0
П100100581003		/	Е	1	0
П100100581004		/	Е	1	0
П100100581005		/	Е	1	0
					
Пояснения к бухгалтерскому балансу и отчету о прибылях и убытках. Раздел 9					
П000100590003			Е		4
П000100590004			Е		4
П000100590103			Е		0
П000100590104			Е		0
П000100590503			Е		0
П000100590504			Е		0
П000100591004			Е		0
П000100591005			Е		0
П000100591006			Е		0
